best m,c is 1.690000,11.840000 with error 16.463303 in direction 0
best m,c is 1.690000,11.850000 with error 16.459335 in direction 0
best m,c is 1.690000,11.860000 with error 16.455373 in direction 0
best m,c is 1.690000,11.870000 with error 16.451416 in direction 0
best m,c is 1.690000,11.880000 with error 16.447463 in direction 0
best m,c is 1.690000,11.890000 with error 16.443516 in direction 0
best m,c is 1.690000,11.900000 with error 16.439574 in direction 0
best m,c is 1.690000,11.910000 with error 16.435637 in direction 0
best m,c is 1.690000,11.920000 with error 16.431706 in direction 0
best m,c is 1.690000,11.930000 with error 16.427779 in direction 0
best m,c is 1.690000,11.940000 with error 16.423858 in direction 0
best m,c is 1.690000,11.950000 with error 16.419942 in direction 0
best m,c is 1.690000,11.960000 with error 16.416031 in direction 0
best m,c is 1.690000,11.970000 with error 16.412125 in direction 0
best m,c is 1.690000,11.980000 with error 16.408224 in direction 0
best m,c is 1.690000,11.990000 with error 16.404328 in direction 0
best m,c is 1.690000,12.000000 with error 16.400438 in direction 0
best m,c is 1.690000,12.010000 with error 16.396553 in direction 0
best m,c is 1.690000,12.020000 with error 16.392673 in direction 0
best m,c is 1.690000,12.030000 with error 16.388798 in direction 0
best m,c is 1.690000,12.040000 with error 16.384928 in direction 0
best m,c is 1.690000,12.050000 with error 16.381063 in direction 0
best m,c is 1.690000,12.060000 with error 16.377204 in direction 0
best m,c is 1.690000,12.070000 with error 16.373350 in direction 0
best m,c is 1.690000,12.080000 with error 16.369501 in direction 0
best m,c is 1.690000,12.090000 with error 16.365657 in direction 0
best m,c is 1.690000,12.100000 with error 16.361819 in direction 0
best m,c is 1.690000,12.110000 with error 16.357986 in direction 0
best m,c is 1.690000,12.120000 with error 16.354158 in direction 0
best m,c is 1.690000,12.130000 with error 16.350335 in direction 0
best m,c is 1.690000,12.140000 with error 16.346517 in direction 0
best m,c is 1.690000,12.150000 with error 16.342705 in direction 0
best m,c is 1.690000,12.160000 with error 16.338898 in direction 0
best m,c is 1.690000,12.170000 with error 16.335096 in direction 0
best m,c is 1.690000,12.180000 with error 16.331299 in direction 0
best m,c is 1.690000,12.190000 with error 16.327508 in direction 0
best m,c is 1.690000,12.200000 with error 16.323721 in direction 0
best m,c is 1.690000,12.210000 with error 16.319940 in direction 0
best m,c is 1.690000,12.220000 with error 16.316165 in direction 0
best m,c is 1.690000,12.230000 with error 16.312394 in direction 0
best m,c is 1.690000,12.240000 with error 16.308629 in direction 0
best m,c is 1.690000,12.250000 with error 16.304869 in direction 0
best m,c is 1.690000,12.260000 with error 16.301114 in direction 0
best m,c is 1.680000,12.270000 with error 16.297096 in direction 7
best m,c is 1.680000,12.280000 with error 16.293046 in direction 0
best m,c is 1.680000,12.290000 with error 16.289001 in direction 0
best m,c is 1.680000,12.300000 with error 16.284961 in direction 0
